,MODEL_NAME,FILTER_SIZE,REG_BETA,BATCH_SIZE,RMSE_CAL,RMSE_TUNING
96,study_trial=317.h5,37,0.0,128,0.2376164009925309,0.5654962266632525
97,study_trial=326.h5,37,0.0,64,0.19037074619620376,0.5599612323506075
98,study_trial=328.h5,33,0.0,64,0.19121493295424843,0.5492571311334955
99,study_trial=335.h5,21,0.0005,64,0.1726647407290927,0.5557305375010474
100,study_trial=338.h5,25,0.0,64,0.2760512767174577,0.5674213652389865
101,study_trial=342.h5,49,0.006,128,0.3916108280141687,0.5818529047801791
102,study_trial=344.h5,27,0.0,64,0.21347551755658134,0.5613755802702809
103,study_trial=345.h5,47,0.0085,128,0.42896701055788083,0.5796323662627706
104,study_trial=346.h5,31,0.0,64,0.23444707874762985,0.5523046433823593
105,study_trial=350.h5,35,0.0005,64,0.15430946540166265,0.5377064940332316
106,study_trial=353.h5,51,0.0055,128,0.3904731073705007,0.573730390832774
107,study_trial=354.h5,37,0.0005,64,0.15706010856963365,0.5348549711770424
108,study_trial=356.h5,39,0.005,64,0.46390623229487055,0.5859456888262417
109,study_trial=359.h5,45,0.0105,64,0.5273057146837389,0.6094167646132146
110,study_trial=361.h5,33,0.0,64,0.20751294293884576,0.5519021714672536
111,study_trial=365.h5,41,0.0095,64,0.4930849219547993,0.5927437487336552
112,study_trial=366.h5,39,0.008,64,0.4772964360439937,0.5914574584560321
113,study_trial=371.h5,33,0.0,64,0.21002130749438314,0.5541670331977645
114,study_trial=372.h5,37,0.0075,64,0.44656725670728387,0.5866159199130402
115,study_trial=384.h5,35,0.0005,64,0.18997536284616254,0.5321050382691408
116,study_trial=386.h5,37,0.0,64,0.1782288328171737,0.5611929277403336
117,study_trial=394.h5,35,0.0,64,0.1973497003849733,0.5434893026992471
118,study_trial=395.h5,49,0.0105,128,0.47072023542653885,0.588129647669331
119,study_trial=398.h5,43,0.0,64,0.1657764338567679,0.5549899606398121
120,study_trial=399.h5,45,0.008,64,0.47427339003379504,0.585588223942274
121,study_trial=403.h5,21,0.0,64,0.2284885455657879,0.5698928072591115
122,study_trial=404.h5,49,0.008,64,0.47025306047237636,0.5822186008486143
123,study_trial=407.h5,35,0.0,64,0.19590701220411733,0.547590033518305
124,study_trial=408.h5,49,0.0095,64,0.4937815058591465,0.5913743629073165
125,study_trial=409.h5,49,0.0085,64,0.4794349092352106,0.5904708206935894
126,study_trial=412.h5,51,0.007,64,0.4777610902342426,0.5949170037894846
127,study_trial=415.h5,45,0.007,64,0.4675909176050883,0.5849248910028537
128,study_trial=416.h5,33,0.0,64,0.1962798291971656,0.5484723876116113
